dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
17-11-20,17,11,2020,4822,44,Netherlands,NL,NLD,17282163,Europe,488.6078207
16-11-20,16,11,2020,5408,43,Netherlands,NL,NLD,17282163,Europe,508.6053175
15-11-20,15,11,2020,5903,85,Netherlands,NL,NLD,17282163,Europe,527.4976286
14-11-20,14,11,2020,6086,53,Netherlands,NL,NLD,17282163,Europe,549.9890263
13-11-20,13,11,2020,5627,89,Netherlands,NL,NLD,17282163,Europe,579.013171
12-11-20,12,11,2020,5400,74,Netherlands,NL,NLD,17282163,Europe,605.7517222
11-11-20,11,11,2020,4664,98,Netherlands,NL,NLD,17282163,Europe,621.3284761
10-11-20,10,11,2020,4674,39,Netherlands,NL,NLD,17282163,Europe,653.8417674
09-11-20,9,11,2020,5659,44,Netherlands,NL,NLD,17282163,Europe,686.5344344
08-11-20,8,11,2020,6659,73,Netherlands,NL,NLD,17282163,Europe,712.7753627
07-11-20,7,11,2020,7232,118,Netherlands,NL,NLD,17282163,Europe,724.2322619
06-11-20,6,11,2020,6957,87,Netherlands,NL,NLD,17282163,Europe,740.1504083
05-11-20,5,11,2020,7622,106,Netherlands,NL,NLD,17282163,Europe,753.522577
04-11-20,4,11,2020,7729,113,Netherlands,NL,NLD,17282163,Europe,759.980102
03-11-20,3,11,2020,8278,29,Netherlands,NL,NLD,17282163,Europe,762.4103534
02-11-20,2,11,2020,8673,39,Netherlands,NL,NLD,17282163,Europe,759.1815909
01-11-20,1,11,2020,9790,50,Netherlands,NL,NLD,17282163,Europe,757.8275937
31-10-20,31,10,2020,11102,87,Netherlands,NL,NLD,17282163,Europe,748.0776567
30-10-20,30,10,2020,10248,56,Netherlands,NL,NLD,17282163,Europe,730.0012157
29-10-20,29,10,2020,8092,60,Netherlands,NL,NLD,17282163,Europe,715.7148095
28-10-20,28,10,2020,10283,70,Netherlands,NL,NLD,17282163,Europe,710.9642468
27-10-20,27,10,2020,10324,26,Netherlands,NL,NLD,17282163,Europe,694.0971451
26-10-20,26,10,2020,10194,27,Netherlands,NL,NLD,17282163,Europe,673.9607768
25-10-20,25,10,2020,8639,55,Netherlands,NL,NLD,17282163,Europe,651.8223442
24-10-20,24,10,2020,9983,45,Netherlands,NL,NLD,17282163,Europe,639.4049171
23-10-20,23,10,2020,9268,46,Netherlands,NL,NLD,17282163,Europe,616.1207946
22-10-20,22,10,2020,8738,59,Netherlands,NL,NLD,17282163,Europe,596.1290841
21-10-20,21,10,2020,8149,45,Netherlands,NL,NLD,17282163,Europe,574.3783345
20-10-20,20,10,2020,7720,8,Netherlands,NL,NLD,17282163,Europe,553.3624466
19-10-20,19,10,2020,8439,23,Netherlands,NL,NLD,17282163,Europe,535.1471341
18-10-20,18,10,2020,8105,29,Netherlands,NL,NLD,17282163,Europe,509.4616918
17-10-20,17,10,2020,7978,16,Netherlands,NL,NLD,17282163,Europe,485.4947844
16-10-20,16,10,2020,7779,29,Netherlands,NL,NLD,17282163,Europe,461.435296
15-10-20,15,10,2020,7271,32,Netherlands,NL,NLD,17282163,Europe,435.2464446
14-10-20,14,10,2020,7368,35,Netherlands,NL,NLD,17282163,Europe,412.2284925
13-10-20,13,10,2020,6844,12,Netherlands,NL,NLD,17282163,Europe,386.9596647
12-10-20,12,10,2020,6368,17,Netherlands,NL,NLD,17282163,Europe,364.1905241
11-10-20,11,10,2020,6493,23,Netherlands,NL,NLD,17282163,Europe,344.6385733
10-10-20,10,10,2020,5959,13,Netherlands,NL,NLD,17282163,Europe,322.7547385
09-10-20,9,10,2020,5813,13,Netherlands,NL,NLD,17282163,Europe,304.3369051
08-10-20,8,10,2020,4979,36,Netherlands,NL,NLD,17282163,Europe,285.4040898
07-10-20,7,10,2020,4517,21,Netherlands,NL,NLD,17282163,Europe,270.1976599
06-10-20,6,10,2020,4572,7,Netherlands,NL,NLD,17282163,Europe,257.0395847
05-10-20,5,10,2020,4000,5,Netherlands,NL,NLD,17282163,Europe,243.4012456
04-10-20,4,10,2020,3963,21,Netherlands,NL,NLD,17282163,Europe,230.920169
03-10-20,3,10,2020,3820,9,Netherlands,NL,NLD,17282163,Europe,218.8788521
02-10-20,2,10,2020,3253,13,Netherlands,NL,NLD,17282163,Europe,208.1857462
01-10-20,1,10,2020,3293,13,Netherlands,NL,NLD,17282163,Europe,199.4889181
30-09-20,30,9,2020,3001,13,Netherlands,NL,NLD,17282163,Europe,189.3455119
29-09-20,29,9,2020,2909,6,Netherlands,NL,NLD,17282163,Europe,179.9427537
28-09-20,28,9,2020,2989,8,Netherlands,NL,NLD,17282163,Europe,170.6210039
27-09-20,27,9,2020,2711,38,Netherlands,NL,NLD,17282163,Europe,159.6096507
26-09-20,26,9,2020,2776,16,Netherlands,NL,NLD,17282163,Europe,151.0459079
25-09-20,25,9,2020,2541,16,Netherlands,NL,NLD,17282163,Europe,142.3201482
24-09-20,24,9,2020,2351,5,Netherlands,NL,NLD,17282163,Europe,132.3792629
23-09-20,23,9,2020,2243,10,Netherlands,NL,NLD,17282163,Europe,125.3720382
22-09-20,22,9,2020,2215,2,Netherlands,NL,NLD,17282163,Europe,117.9655579
21-09-20,21,9,2020,1843,4,Netherlands,NL,NLD,17282163,Europe,109.7605664
20-09-20,20,9,2020,1882,2,Netherlands,NL,NLD,17282163,Europe,104.4487313
19-09-20,19,9,2020,1972,7,Netherlands,NL,NLD,17282163,Europe,97.34313928
18-09-20,18,9,2020,1750,6,Netherlands,NL,NLD,17282163,Europe,90.23754723
17-09-20,17,9,2020,1540,2,Netherlands,NL,NLD,17282163,Europe,82.5475376
16-09-20,16,9,2020,1376,2,Netherlands,NL,NLD,17282163,Europe,78.92530582
15-09-20,15,9,2020,1298,2,Netherlands,NL,NLD,17282163,Europe,73.63082966
14-09-20,14,9,2020,1086,1,Netherlands,NL,NLD,17282163,Europe,69.15800991
13-09-20,13,9,2020,1231,1,Netherlands,NL,NLD,17282163,Europe,65.81352114
12-09-20,12,9,2020,1268,3,Netherlands,NL,NLD,17282163,Europe,61.58372653
11-09-20,11,9,2020,823,3,Netherlands,NL,NLD,17282163,Europe,57.18034253
10-09-20,10,9,2020,1140,2,Netherlands,NL,NLD,17282163,Europe,55.36922664
09-09-20,9,9,2020,963,1,Netherlands,NL,NLD,17282163,Europe,52.07102838
08-09-20,8,9,2020,797,0,Netherlands,NL,NLD,17282163,Europe,48.89434268
07-09-20,7,9,2020,925,2,Netherlands,NL,NLD,17282163,Europe,47.59242231
06-09-20,6,9,2020,654,4,Netherlands,NL,NLD,17282163,Europe,44.87864164
05-09-20,5,9,2020,744,2,Netherlands,NL,NLD,17282163,Europe,44.03383998
04-09-20,4,9,2020,421,0,Netherlands,NL,NLD,17282163,Europe,42.8187143
03-09-20,3,9,2020,914,5,Netherlands,NL,NLD,17282163,Europe,43.44363608
02-09-20,2,9,2020,461,6,Netherlands,NL,NLD,17282163,Europe,41.34899086
01-09-20,1,9,2020,525,0,Netherlands,NL,NLD,17282163,Europe,41.499435
