dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
27-04-20,27,4,2020,655,66,Netherlands,NL,NLD,17282163,Europe,70.92862161
26-04-20,26,4,2020,655,120,Netherlands,NL,NLD,17282163,Europe,73.93171792
25-04-20,25,4,2020,806,112,Netherlands,NL,NLD,17282163,Europe,77.75647065
24-04-20,24,4,2020,887,123,Netherlands,NL,NLD,17282163,Europe,80.81743009
23-04-20,23,4,2020,708,138,Netherlands,NL,NLD,17282163,Europe,82.70376804
22-04-20,22,4,2020,729,165,Netherlands,NL,NLD,17282163,Europe,84.21399567
21-04-20,21,4,2020,750,67,Netherlands,NL,NLD,17282163,Europe,84.49173868
20-04-20,20,4,2020,1066,83,Netherlands,NL,NLD,17282163,Europe,85.66057385
19-04-20,19,4,2020,1140,142,Netherlands,NL,NLD,17282163,Europe,86.57481127
18-04-20,18,4,2020,1235,144,Netherlands,NL,NLD,17282163,Europe,85.20924146
17-04-20,17,4,2020,1061,181,Netherlands,NL,NLD,17282163,Europe,83.9999021
16-04-20,16,4,2020,734,189,Netherlands,NL,NLD,17282163,Europe,84.12720098
15-04-20,15,4,2020,868,122,Netherlands,NL,NLD,17282163,Europe,85.77630011
14-04-20,14,4,2020,964,86,Netherlands,NL,NLD,17282163,Europe,85.64321491
13-04-20,13,4,2020,1174,94,Netherlands,NL,NLD,17282163,Europe,85.1803099
12-04-20,12,4,2020,1316,132,Netherlands,NL,NLD,17282163,Europe,84.775268
11-04-20,11,4,2020,1335,115,Netherlands,NL,NLD,17282163,Europe,83.8668169
10-04-20,10,4,2020,1213,148,Netherlands,NL,NLD,17282163,Europe,82.92364793
09-04-20,9,4,2020,969,147,Netherlands,NL,NLD,17282163,Europe,81.80110325
08-04-20,8,4,2020,777,234,Netherlands,NL,NLD,17282163,Europe,81.12410466
07-04-20,7,4,2020,952,101,Netherlands,NL,NLD,17282163,Europe,81.3208393
06-04-20,6,4,2020,1224,115,Netherlands,NL,NLD,17282163,Europe,78.96581001
05-04-20,5,4,2020,904,164,Netherlands,NL,NLD,17282163,Europe,75.19892041
04-04-20,4,4,2020,1026,148,Netherlands,NL,NLD,17282163,Europe,73.65397491
03-04-20,3,4,2020,1083,166,Netherlands,NL,NLD,17282163,Europe,70.80710904
02-04-20,2,4,2020,1019,134,Netherlands,NL,NLD,17282163,Europe,66.90713425
01-04-20,1,4,2020,845,175,Netherlands,NL,NLD,17282163,Europe,63.01294578
31-03-20,31,3,2020,884,93,Netherlands,NL,NLD,17282163,Europe,59.81311483
30-03-20,30,3,2020,1104,132,Netherlands,NL,NLD,17282163,Europe,56.30660931
29-03-20,29,3,2020,1159,93,Netherlands,NL,NLD,17282163,Europe,50.93691108
28-03-20,28,3,2020,1172,112,Netherlands,NL,NLD,17282163,Europe,45.12745309
27-03-20,27,3,2020,1019,78,Netherlands,NL,NLD,17282163,Europe,39.44529397
26-03-20,26,3,2020,852,80,Netherlands,NL,NLD,17282163,Europe,34.191322
25-03-20,25,3,2020,811,63,Netherlands,NL,NLD,17282163,Europe,29.96152739
24-03-20,24,3,2020,545,34,Netherlands,NL,NLD,17282163,Europe,25.62179283
23-03-20,23,3,2020,573,43,Netherlands,NL,NLD,17282163,Europe,22.7922859
22-03-20,22,3,2020,637,30,Netherlands,NL,NLD,17282163,Europe,19.92227478
21-03-20,21,3,2020,534,30,Netherlands,NL,NLD,17282163,Europe,16.58357232
20-03-20,20,3,2020,409,18,Netherlands,NL,NLD,17282163,Europe,13.7598517
19-03-20,19,3,2020,346,15,Netherlands,NL,NLD,17282163,Europe,11.64784755
18-03-20,18,3,2020,292,19,Netherlands,NL,NLD,17282163,Europe,9.70364647
17-03-20,17,3,2020,278,4,Netherlands,NL,NLD,17282163,Europe,8.07190628
16-03-20,16,3,2020,176,8,Netherlands,NL,NLD,17282163,Europe,6.4922429
15-03-20,15,3,2020,155,7,Netherlands,NL,NLD,17282163,Europe,5.50856973
14-03-20,14,3,2020,190,0,Netherlands,NL,NLD,17282163,Europe,4.64062282
13-03-20,13,3,2020,111,0,Netherlands,NL,NLD,17282163,Europe,3.54700971
12-03-20,12,3,2020,121,1,Netherlands,NL,NLD,17282163,Europe,2.91051531
11-03-20,11,3,2020,61,1,Netherlands,NL,NLD,17282163,Europe,2.21037147
10-03-20,10,3,2020,56,0,Netherlands,NL,NLD,17282163,Europe,1.85740639
09-03-20,9,3,2020,77,2,Netherlands,NL,NLD,17282163,Europe,1.53337288
08-03-20,8,3,2020,60,0,Netherlands,NL,NLD,17282163,Europe,1.0878268
07-03-20,7,3,2020,46,1,Netherlands,NL,NLD,17282163,Europe,0.74064803
06-03-20,6,3,2020,44,0,Netherlands,NL,NLD,17282163,Europe,0.47447764
05-03-20,5,3,2020,10,0,Netherlands,NL,NLD,17282163,Europe,0.21987988
04-03-20,4,3,2020,10,0,Netherlands,NL,NLD,17282163,Europe,0.16201676
03-03-20,3,3,2020,5,0,Netherlands,NL,NLD,17282163,Europe,0.10415363
02-03-20,2,3,2020,6,0,Netherlands,NL,NLD,17282163,Europe,0.07522207
01-03-20,1,3,2020,5,0,Netherlands,NL,NLD,17282163,Europe,0.04050419
29-02-20,29,2,2020,1,0,Netherlands,NL,NLD,17282163,Europe,0.01157263
28-02-20,28,2,2020,1,0,Netherlands,NL,NLD,17282163,Europe,0.00578631
27-02-20,27,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
26-02-20,26,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
25-02-20,25,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
24-02-20,24,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
23-02-20,23,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
22-02-20,22,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
21-02-20,21,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
20-02-20,20,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
19-02-20,19,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
18-02-20,18,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
17-02-20,17,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
16-02-20,16,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
15-02-20,15,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
14-02-20,14,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
13-02-20,13,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
12-02-20,12,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
11-02-20,11,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
10-02-20,10,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
09-02-20,9,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
08-02-20,8,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
07-02-20,7,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
06-02-20,6,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
05-02-20,5,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
04-02-20,4,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
03-02-20,3,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
02-02-20,2,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
01-02-20,1,2,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
31-01-20,31,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
30-01-20,30,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
29-01-20,29,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
28-01-20,28,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
27-01-20,27,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
26-01-20,26,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
25-01-20,25,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
24-01-20,24,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
23-01-20,23,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
22-01-20,22,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
21-01-20,21,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
20-01-20,20,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
19-01-20,19,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
18-01-20,18,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
17-01-20,17,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
16-01-20,16,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
15-01-20,15,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
14-01-20,14,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
13-01-20,13,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,0
12-01-20,12,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
11-01-20,11,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
10-01-20,10,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
09-01-20,9,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
08-01-20,8,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
07-01-20,7,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
06-01-20,6,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
05-01-20,5,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
04-01-20,4,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
03-01-20,3,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
02-01-20,2,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
01-01-20,1,1,2020,0,0,Netherlands,NL,NLD,17282163,Europe,
