Country,Type,Event,Date effective,Link,,
Netherlands,Schools + Universities,exemption for children of essential workers,14.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/15/aanvullende-maatregelen-onderwijs-horeca-sport,Pablo,
Netherlands,Public events,Public gatherings >100 people,12.03.2020,https://www.iq-mag.net/2020/03/dutch-government-bans-events-100-people/#.XoxumC2Q3yk,Pablo,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland
Netherlands,Social distancing encouraged,"Social distancing and self-isolation for people with flue-like symptoms as of Marc 12 for the whole country, previously only for the Noord-Brabant province",12.03.2020,https://www.rivm.nl/en/news/expansion-of-coronavirus-measures,Pablo,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland
Netherlands,Lockdown,"Intelligent lockdown, people are still allowed to meet if keeping their distance",23.03.2020,,,
Netherlands,Self-isolating if ill,"Social distancing and self-isolation for people with flue-like symptoms as of Marc 12 for the whole country, previously only for the Noord-Brabant province",12.03.2020,https://www.rivm.nl/en/news/expansion-of-coronavirus-measures,Pablo,
Netherlands,Closure of cultural institutions,"museums, concert halls and theatres were closed following the ban of large gatherings",12.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland,Lucia,
Netherlands,Closure of restaurants,"Schools, restaurants, gyms, sports venues, sex clubs, etc. closed as of 18:00hrs March 15",15.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/15/aanvullende-maatregelen-onderwijs-horeca-sport,,
Netherlands,Advice to work from home,Advice to work from home,12.03.2020,https://www.rijksoverheid.nl/actueel/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland,Lucia,
Netherlands,Closure of 'contact beroepen' ,Closure of 'contact beroepen' ,23.03.2020,,,
Netherlands,Closure casino,Closure casino,24.03.2020,,,
Netherlands,Open schools,"Open schools, restaurants, cafes, museum",01.06.2020,,,
Netherlands,Open restaurants,,01.06.2020,,,
Netherlands,Max 6 persons to visit house,Max 6 persons to visit house,18.08.2020,,,
Netherlands,"Restaurants, cafes close at 01:00","Restaurants, cafes close at 01:00",18.09.2020,,,
Netherlands,No alcohol after 01:00,No alcohol after 01:00,18.09.2020,,,
Netherlands,"max 50 persons, otherwise duty to report","max 50 persons, otherwise duty to report",18.09.2020,,,
Netherlands,restaurants and cafes close 22:00,restaurants and cafes close 22:00,28.09.2020,,,
Netherlands,Sporting matches without audience,Sporting matches without audience,28.09.2020,,,
Netherlands,Max 3 persons to visit,Max 3 persons to visit,28.09.2020,,,
Netherlands,Face Masks,Urgent advice to wear masks,05.10.2020,,,
Netherlands,Closure of restaurants2,"Closure restaurants, cafes",14.10.2020,,,
Netherlands,No alcohol after 20:00,No alcohol after 20:00,14.10.2020,,,
Netherlands,Only individual sporting activities allowed,Only individual sporting activities allowed,14.10.2020,,,
Netherlands,"Closure musea, theaters, casinos, theme parks","Closure musea, theaters, casinos, theme parks",03.11.2020,,,
